path,type,size
root,dict,11.0
root.entity_id,int,
root.category,str,
root.category_readable,str,
root.entity_alias,str,
root.entity_alias_basket,str,
root.entity_alias_readable,str,
root.entity_alias_synonyms,str,
root.entity_alias_url,str,
root.natural_source_name,str,
root.natural_source_url,str,
root.molecules,list,173.0
root.molecules[0],dict,43.0
root.molecules[0].pubchem_id,int,
root.molecules[0].iupac_name,str,
root.molecules[0].common_name,str,
root.molecules[0].smile,str,
root.molecules[0].molecular_weight,float,
root.molecules[0].hbd_count,int,
root.molecules[0].hba_count,int,
root.molecules[0].num_rotatablebonds,int,
root.molecules[0].complexity,float,
root.molecules[0].topological_polor_surfacearea,float,
root.molecules[0].monoisotopic_mass,float,
root.molecules[0].exact_mass,float,
root.molecules[0].xlogp,str,
root.molecules[0].charge,int,
root.molecules[0].heavy_atom_count,int,
root.molecules[0].atom_stereo_count,int,
root.molecules[0].defined_atom_stereocenter_count,int,
root.molecules[0].undefined_atom_stereocenter_count,int,
root.molecules[0].bond_stereo_count,int,
root.molecules[0].defined_bond_stereocenter_count,int,
root.molecules[0].undefined_bond_stereocenter_count,int,
root.molecules[0].isotope_atom_count,int,
root.molecules[0].covalently_bonded_unit_count,int,
root.molecules[0].cas_id,str,
root.molecules[0].fema_number,NoneType,
root.molecules[0].fema_flavor_profile,NoneType,
root.molecules[0].odor,str,
root.molecules[0].taste,str,
root.molecules[0].functional_groups,str,
root.molecules[0].inchi,str,
root.molecules[0].volume3d,str,
root.molecules[0].fooddb_flavor_profile,str,
root.molecules[0].super_sweet,str,
root.molecules[0].bitter,int,
root.molecules[0].supersweetdb_id,str,
root.molecules[0].bitterdb_id,str,
root.molecules[0].fooddb_id,str,
root.molecules[0].flavornet_id,int,
root.molecules[0].fenoroli_and_os,int,
root.molecules[0].natural,int,
root.molecules[0].unknown_natural,int,
root.molecules[0].synthetic,int,
root.molecules[0].flavor_profile,str,
